global_id,true_label_coarse,best_label_by_keywords,overlap_true,overlap_best,correct,num_keywords,prompt_version
VSB_vsb_0084,10_Hate,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0128,11_Suicide_Self-Harm,11_Suicide_Self-Harm,12,12,1,11,exp2_v1
VSB_vsb_0130,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,10,exp2_v1
VSB_vsb_0118,11_Suicide_Self-Harm,11_Suicide_Self-Harm,3,3,1,11,exp2_v1
VSB_vsb_0169,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0157,11_Suicide_Self-Harm,11_Suicide_Self-Harm,6,6,1,6,exp2_v1
VSB_vsb_0111,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,12,exp2_v1
VSB_vsb_0110,11_Suicide_Self-Harm,11_Suicide_Self-Harm,10,10,1,8,exp2_v2_retry
VSB_vsb_0140,11_Suicide_Self-Harm,11_Suicide_Self-Harm,6,6,1,12,exp2_v1
VSB_vsb_0165,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v1
VSB_vsb_0162,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,7,exp2_v2_retry
VSB_vsb_0113,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v1
VSB_vsb_0138,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,9,exp2_v2_retry
VSB_vsb_0170,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,12,exp2_v1
VSB_vsb_0137,11_Suicide_Self-Harm,11_Suicide_Self-Harm,10,10,1,10,exp2_v1
VSB_vsb_0115,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,10,exp2_v1
VSB_vsb_0183,11_Suicide_Self-Harm,11_Suicide_Self-Harm,10,10,1,11,exp2_v1
VSB_vsb_0142,11_Suicide_Self-Harm,6_Specificial_Advice,3,4,0,9,exp2_v1
VSB_vsb_0192,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,7,exp2_v2_retry
VSB_vsb_0126,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,9,exp2_v1
VSB_vsb_0180,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,10,exp2_v1
VSB_vsb_0175,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,10,exp2_v1
VSB_vsb_0136,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0156,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,10,exp2_v1
VSB_vsb_0190,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0149,11_Suicide_Self-Harm,11_Suicide_Self-Harm,4,4,1,9,exp2_v2_retry
VSB_vsb_0188,11_Suicide_Self-Harm,1_Violent_Crimes,4,5,0,10,exp2_v2_retry
VSB_vsb_0194,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0182,11_Suicide_Self-Harm,11_Suicide_Self-Harm,10,10,1,10,exp2_v1
VSB_vsb_0123,11_Suicide_Self-Harm,3_Sex-Related_Crimes,2,3,0,14,exp2_v1
VSB_vsb_0124,11_Suicide_Self-Harm,11_Suicide_Self-Harm,10,10,1,15,exp2_v2_retry
VSB_vsb_0167,11_Suicide_Self-Harm,1_Violent_Crimes,2,4,0,10,exp2_v2_retry
VSB_vsb_0104,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,8,exp2_v2_retry
VSB_vsb_0133,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,10,exp2_v1
VSB_vsb_0178,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,11,exp2_v1
VSB_vsb_0164,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,10,exp2_v2_retry
VSB_vsb_0105,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0143,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,9,exp2_v1
VSB_vsb_0148,11_Suicide_Self-Harm,11_Suicide_Self-Harm,6,6,1,10,exp2_v2_retry
VSB_vsb_0108,11_Suicide_Self-Harm,11_Suicide_Self-Harm,3,3,1,11,exp2_v1
VSB_vsb_0173,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v1
VSB_vsb_0109,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,9,exp2_v1
VSB_vsb_0102,11_Suicide_Self-Harm,6_Specificial_Advice,1,5,0,6,exp2_v1
VSB_vsb_0153,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,10,exp2_v1
VSB_vsb_0160,11_Suicide_Self-Harm,11_Suicide_Self-Harm,4,4,1,9,exp2_v2_retry
VSB_vsb_0144,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v1
VSB_vsb_0134,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,11,exp2_v1
VSB_vsb_0159,11_Suicide_Self-Harm,11_Suicide_Self-Harm,6,6,1,6,exp2_v1
VSB_vsb_0125,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,8,exp2_v2_retry
VSB_vsb_0145,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v1
VSB_vsb_0163,11_Suicide_Self-Harm,11_Suicide_Self-Harm,5,5,1,10,exp2_v1
VSB_vsb_0117,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,11,exp2_v1
VSB_vsb_0146,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,6,exp2_v1
VSB_vsb_0181,11_Suicide_Self-Harm,11_Suicide_Self-Harm,8,8,1,11,exp2_v2_retry
VSB_vsb_0185,11_Suicide_Self-Harm,11_Suicide_Self-Harm,6,6,1,11,exp2_v1
VSB_vsb_0168,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0177,11_Suicide_Self-Harm,11_Suicide_Self-Harm,7,7,1,10,exp2_v1
VSB_vsb_0141,11_Suicide_Self-Harm,1_Violent_Crimes,3,5,0,3,exp2_fallback_generic
VSB_vsb_0147,11_Suicide_Self-Harm,1_Violent_Crimes,2,4,0,7,exp2_v1
VSB_vsb_0195,11_Suicide_Self-Harm,11_Suicide_Self-Harm,12,12,1,12,exp2_v1
VSB_vsb_0131,11_Suicide_Self-Harm,11_Suicide_Self-Harm,9,9,1,9,exp2_v1
VSB_vsb_0238,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0237,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0240,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0246,12_Sexual_Content,4_Child_Sexual_Exploitation,5,8,0,5,exp2_v2_retry
VSB_vsb_0218,12_Sexual_Content,12_Sexual_Content,7,7,1,5,exp2_v1
VSB_vsb_0201,12_Sexual_Content,3_Sex-Related_Crimes,3,6,0,5,exp2_v1
VSB_vsb_0216,12_Sexual_Content,12_Sexual_Content,7,7,1,5,exp2_v1
VSB_vsb_0235,12_Sexual_Content,4_Child_Sexual_Exploitation,8,9,0,8,exp2_v1
VSB_vsb_0203,12_Sexual_Content,3_Sex-Related_Crimes,6,9,0,10,exp2_v1
VSB_vsb_0227,12_Sexual_Content,12_Sexual_Content,6,6,1,5,exp2_v1
VSB_vsb_0233,12_Sexual_Content,4_Child_Sexual_Exploitation,9,10,0,10,exp2_v1
VSB_vsb_0236,12_Sexual_Content,11_Suicide_Self-Harm,1,4,0,5,exp2_v1
VSB_vsb_0217,12_Sexual_Content,11_Suicide_Self-Harm,1,7,0,21,exp2_v1
VSB_vsb_0208,12_Sexual_Content,12_Sexual_Content,3,3,1,7,exp2_v2_retry
VSB_vsb_0211,12_Sexual_Content,10_Hate,1,4,0,5,exp2_v1
VSB_vsb_0197,12_Sexual_Content,12_Sexual_Content,7,7,1,10,exp2_v1
VSB_vsb_0213,12_Sexual_Content,4_Child_Sexual_Exploitation,8,11,0,9,exp2_v1
VSB_vsb_0247,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0210,12_Sexual_Content,1_Violent_Crimes,0,3,0,7,exp2_v2_retry
VSB_vsb_0219,12_Sexual_Content,12_Sexual_Content,10,10,1,10,exp2_v1
VSB_vsb_0206,12_Sexual_Content,4_Child_Sexual_Exploitation,8,14,0,11,exp2_v1
VSB_vsb_0243,12_Sexual_Content,1_Violent_Crimes,1,2,0,5,exp2_v2_retry
VSB_vsb_0223,12_Sexual_Content,12_Sexual_Content,6,6,1,5,exp2_v1
VSB_vsb_0199,12_Sexual_Content,4_Child_Sexual_Exploitation,6,7,0,6,exp2_v1
VSB_vsb_0202,12_Sexual_Content,4_Child_Sexual_Exploitation,4,6,0,5,exp2_v2_retry
VSB_vsb_0205,12_Sexual_Content,12_Sexual_Content,7,7,1,5,exp2_v1
VSB_vsb_0254,12_Sexual_Content,12_Sexual_Content,5,5,1,6,exp2_v1
VSB_vsb_0198,12_Sexual_Content,12_Sexual_Content,6,6,1,5,exp2_v1
VSB_vsb_0200,12_Sexual_Content,3_Sex-Related_Crimes,5,6,0,5,exp2_v1
VSB_vsb_0196,12_Sexual_Content,12_Sexual_Content,4,4,1,9,exp2_v1
VSB_vsb_0232,12_Sexual_Content,12_Sexual_Content,7,7,1,6,exp2_v2_retry
VSB_vsb_0249,12_Sexual_Content,12_Sexual_Content,4,4,1,15,exp2_v1
VSB_vsb_0231,12_Sexual_Content,6_Specificial_Advice,3,4,0,11,exp2_v2_retry
VSB_vsb_0215,12_Sexual_Content,4_Child_Sexual_Exploitation,9,10,0,10,exp2_v1
VSB_vsb_0214,12_Sexual_Content,3_Sex-Related_Crimes,6,8,0,6,exp2_v1
VSB_vsb_0225,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0242,12_Sexual_Content,4_Child_Sexual_Exploitation,5,7,0,5,exp2_v1
VSB_vsb_0228,12_Sexual_Content,4_Child_Sexual_Exploitation,4,7,0,5,exp2_v2_retry
VSB_vsb_0207,12_Sexual_Content,4_Child_Sexual_Exploitation,6,7,0,5,exp2_v1
VSB_vsb_0220,12_Sexual_Content,12_Sexual_Content,9,9,1,6,exp2_v1
VSB_vsb_0253,12_Sexual_Content,12_Sexual_Content,5,5,1,22,exp2_v1
VSB_vsb_0226,12_Sexual_Content,3_Sex-Related_Crimes,4,7,0,10,exp2_v1
VSB_vsb_0245,12_Sexual_Content,4_Child_Sexual_Exploitation,9,10,0,10,exp2_v1
VSB_vsb_0250,12_Sexual_Content,4_Child_Sexual_Exploitation,2,5,0,6,exp2_v2_retry
VSB_vsb_0224,12_Sexual_Content,4_Child_Sexual_Exploitation,3,6,0,6,exp2_v1
VSB_vsb_0255,12_Sexual_Content,4_Child_Sexual_Exploitation,6,10,0,5,exp2_v2_retry
VSB_vsb_0241,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0234,12_Sexual_Content,12_Sexual_Content,6,6,1,9,exp2_v2_retry
VSB_vsb_0221,12_Sexual_Content,3_Sex-Related_Crimes,3,4,0,10,exp2_v1
VSB_vsb_0248,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0244,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0204,12_Sexual_Content,4_Child_Sexual_Exploitation,5,8,0,5,exp2_v2_retry
VSB_vsb_0239,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0252,12_Sexual_Content,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0230,12_Sexual_Content,12_Sexual_Content,8,8,1,8,exp2_v1
VSB_vsb_0251,12_Sexual_Content,12_Sexual_Content,8,8,1,7,exp2_v2_retry
VSB_vsb_0212,12_Sexual_Content,4_Child_Sexual_Exploitation,6,7,0,5,exp2_v1
VSB_vsb_0209,12_Sexual_Content,4_Child_Sexual_Exploitation,10,11,0,20,exp2_v1
VSB_vsb_0229,12_Sexual_Content,12_Sexual_Content,10,10,1,10,exp2_v1
VSB_vsb_0222,12_Sexual_Content,4_Child_Sexual_Exploitation,7,8,0,5,exp2_v1
VSB_vsb_0300,13_Elections,5_Defamation,5,6,0,11,exp2_v1
VSB_vsb_0311,13_Elections,5_Defamation,7,8,0,11,exp2_v1
VSB_vsb_0279,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0263,13_Elections,13_Elections,5,5,1,5,exp2_v1
VSB_vsb_0320,13_Elections,13_Elections,13,13,1,27,exp2_v1
VSB_vsb_0315,13_Elections,2_Non-Violent_Crimes,4,8,0,11,exp2_v1
VSB_vsb_0261,13_Elections,13_Elections,9,9,1,10,exp2_v1
VSB_vsb_0268,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0306,13_Elections,13_Elections,3,3,1,5,exp2_v2_retry
VSB_vsb_0281,13_Elections,13_Elections,13,13,1,11,exp2_v1
VSB_vsb_0289,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0301,13_Elections,13_Elections,7,7,1,10,exp2_v1
VSB_vsb_0316,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0277,13_Elections,13_Elections,12,12,1,12,exp2_v1
VSB_vsb_0282,13_Elections,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0332,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0276,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0310,13_Elections,13_Elections,10,10,1,10,exp2_v1
VSB_vsb_0266,13_Elections,13_Elections,7,7,1,7,exp2_v1
VSB_vsb_0322,13_Elections,5_Defamation,2,4,0,10,exp2_v1
VSB_vsb_0325,13_Elections,13_Elections,13,13,1,10,exp2_v1
VSB_vsb_0272,13_Elections,3_Sex-Related_Crimes,6,9,0,21,exp2_v1
VSB_vsb_0331,13_Elections,13_Elections,6,6,1,5,exp2_v1
VSB_vsb_0294,13_Elections,13_Elections,6,6,1,9,exp2_v1
VSB_vsb_0284,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0298,13_Elections,10_Hate,2,4,0,10,exp2_v1
VSB_vsb_0267,13_Elections,13_Elections,3,3,1,6,exp2_v1
VSB_vsb_0256,13_Elections,6_Specificial_Advice,1,5,0,12,exp2_v1
VSB_vsb_0286,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0299,13_Elections,13_Elections,5,5,1,10,exp2_v1
VSB_vsb_0321,13_Elections,1_Violent_Crimes,2,5,0,3,exp2_fallback_generic
VSB_vsb_0292,13_Elections,13_Elections,10,10,1,11,exp2_v1
VSB_vsb_0288,13_Elections,13_Elections,10,10,1,11,exp2_v1
VSB_vsb_0275,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0297,13_Elections,13_Elections,7,7,1,10,exp2_v1
VSB_vsb_0278,13_Elections,13_Elections,10,10,1,12,exp2_v1
VSB_vsb_0280,13_Elections,13_Elections,9,9,1,11,exp2_v1
VSB_vsb_0318,13_Elections,13_Elections,6,6,1,10,exp2_v1
VSB_vsb_0314,13_Elections,13_Elections,7,7,1,11,exp2_v1
VSB_vsb_0265,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0291,13_Elections,13_Elections,8,8,1,11,exp2_v1
VSB_vsb_0308,13_Elections,13_Elections,5,5,1,8,exp2_v1
VSB_vsb_0285,13_Elections,13_Elections,12,12,1,11,exp2_v1
VSB_vsb_0329,13_Elections,10_Hate,4,8,0,9,exp2_v1
VSB_vsb_0323,13_Elections,13_Elections,4,4,1,10,exp2_v1
VSB_vsb_0258,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0273,13_Elections,13_Elections,5,5,1,10,exp2_v1
VSB_vsb_0264,13_Elections,13_Elections,7,7,1,5,exp2_v1
VSB_vsb_0271,13_Elections,4_Child_Sexual_Exploitation,3,4,0,8,exp2_v2_retry
VSB_vsb_0327,13_Elections,13_Elections,8,8,1,10,exp2_v1
VSB_vsb_0287,13_Elections,13_Elections,7,7,1,11,exp2_v1
VSB_vsb_0309,13_Elections,5_Defamation,6,9,0,12,exp2_v1
VSB_vsb_0302,13_Elections,13_Elections,6,6,1,10,exp2_v1
VSB_vsb_0296,13_Elections,13_Elections,5,5,1,10,exp2_v1
VSB_vsb_0295,13_Elections,13_Elections,13,13,1,11,exp2_v1
VSB_vsb_0334,13_Elections,13_Elections,7,7,1,12,exp2_v1
VSB_vsb_0274,13_Elections,13_Elections,4,4,1,10,exp2_v1
VSB_vsb_0319,13_Elections,2_Non-Violent_Crimes,4,5,0,10,exp2_v2_retry
VSB_vsb_0283,13_Elections,13_Elections,10,10,1,12,exp2_v1
VSB_vsb_0260,13_Elections,13_Elections,5,5,1,4,exp2_v1
VSB_vsb_0427,1_Violent_Crimes,12_Sexual_Content,3,3,0,10,exp2_v2_retry
VSB_vsb_0375,1_Violent_Crimes,4_Child_Sexual_Exploitation,4,6,0,11,exp2_v1
VSB_vsb_0385,1_Violent_Crimes,1_Violent_Crimes,7,7,1,6,exp2_v1
VSB_vsb_0389,1_Violent_Crimes,5_Defamation,4,5,0,10,exp2_v1
VSB_vsb_0419,1_Violent_Crimes,13_Elections,3,3,0,9,exp2_v2_retry
VSB_vsb_0346,1_Violent_Crimes,1_Violent_Crimes,5,5,1,12,exp2_v1
VSB_vsb_0336,1_Violent_Crimes,11_Suicide_Self-Harm,2,4,0,10,exp2_v1
VSB_vsb_0412,1_Violent_Crimes,1_Violent_Crimes,7,7,1,13,exp2_v1
VSB_vsb_0360,1_Violent_Crimes,1_Violent_Crimes,5,5,1,11,exp2_v1
VSB_vsb_0378,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0356,1_Violent_Crimes,9_Indiscriminate_Weapons,3,4,0,9,exp2_v1
VSB_vsb_0366,1_Violent_Crimes,1_Violent_Crimes,6,6,1,7,exp2_v2_retry
VSB_vsb_0364,1_Violent_Crimes,1_Violent_Crimes,7,7,1,10,exp2_v1
VSB_vsb_0417,1_Violent_Crimes,6_Specificial_Advice,3,5,0,12,exp2_v1
VSB_vsb_0393,1_Violent_Crimes,3_Sex-Related_Crimes,5,6,0,9,exp2_v1
VSB_vsb_0384,1_Violent_Crimes,1_Violent_Crimes,6,6,1,9,exp2_v1
VSB_vsb_0408,1_Violent_Crimes,10_Hate,2,2,0,7,exp2_v2_retry
VSB_vsb_0428,1_Violent_Crimes,11_Suicide_Self-Harm,5,6,0,8,exp2_v1
VSB_vsb_0340,1_Violent_Crimes,1_Violent_Crimes,3,3,1,10,exp2_v1
VSB_vsb_0387,1_Violent_Crimes,7_Privacy,1,5,0,10,exp2_v1
VSB_vsb_0415,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0414,1_Violent_Crimes,9_Indiscriminate_Weapons,4,5,0,12,exp2_v1
VSB_vsb_0341,1_Violent_Crimes,5_Defamation,5,6,0,10,exp2_v1
VSB_vsb_0357,1_Violent_Crimes,1_Violent_Crimes,8,8,1,11,exp2_v1
VSB_vsb_0418,1_Violent_Crimes,11_Suicide_Self-Harm,1,4,0,10,exp2_v1
VSB_vsb_0344,1_Violent_Crimes,1_Violent_Crimes,11,11,1,11,exp2_v1
VSB_vsb_0369,1_Violent_Crimes,4_Child_Sexual_Exploitation,3,5,0,5,exp2_v1
VSB_vsb_0421,1_Violent_Crimes,3_Sex-Related_Crimes,4,6,0,8,exp2_v2_retry
VSB_vsb_0407,1_Violent_Crimes,11_Suicide_Self-Harm,1,4,0,11,exp2_v1
VSB_vsb_0398,1_Violent_Crimes,11_Suicide_Self-Harm,5,6,0,10,exp2_v1
VSB_vsb_0425,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0413,1_Violent_Crimes,9_Indiscriminate_Weapons,5,7,0,10,exp2_v2_retry
VSB_vsb_0399,1_Violent_Crimes,6_Specificial_Advice,5,6,0,14,exp2_v1
VSB_vsb_0404,1_Violent_Crimes,11_Suicide_Self-Harm,4,8,0,14,exp2_v1
VSB_vsb_0355,1_Violent_Crimes,5_Defamation,2,4,0,11,exp2_v1
VSB_vsb_0410,1_Violent_Crimes,9_Indiscriminate_Weapons,2,5,0,11,exp2_v1
VSB_vsb_0365,1_Violent_Crimes,2_Non-Violent_Crimes,3,4,0,9,exp2_v2_retry
VSB_vsb_0339,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0424,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0388,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0403,1_Violent_Crimes,10_Hate,2,2,0,11,exp2_v1
VSB_vsb_0362,1_Violent_Crimes,1_Violent_Crimes,6,6,1,11,exp2_v1
VSB_vsb_0348,1_Violent_Crimes,3_Sex-Related_Crimes,2,3,0,7,exp2_v2_retry
VSB_vsb_0371,1_Violent_Crimes,4_Child_Sexual_Exploitation,4,9,0,16,exp2_v1
VSB_vsb_0376,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0409,1_Violent_Crimes,1_Violent_Crimes,7,7,1,9,exp2_v2_retry
VSB_vsb_0382,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0406,1_Violent_Crimes,11_Suicide_Self-Harm,9,9,0,13,exp2_v1
VSB_vsb_0401,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0361,1_Violent_Crimes,1_Violent_Crimes,5,5,1,13,exp2_v1
VSB_vsb_0379,1_Violent_Crimes,1_Violent_Crimes,4,4,1,7,exp2_v2_retry
VSB_vsb_0390,1_Violent_Crimes,1_Violent_Crimes,6,6,1,9,exp2_v2_retry
VSB_vsb_0402,1_Violent_Crimes,1_Violent_Crimes,5,5,1,3,exp2_fallback_generic
VSB_vsb_0383,1_Violent_Crimes,4_Child_Sexual_Exploitation,3,6,0,10,exp2_v1
VSB_vsb_0349,1_Violent_Crimes,1_Violent_Crimes,5,5,1,11,exp2_v1
VSB_vsb_0422,1_Violent_Crimes,11_Suicide_Self-Harm,4,4,0,11,exp2_v1
VSB_vsb_0391,1_Violent_Crimes,1_Violent_Crimes,9,9,1,10,exp2_v1
